Name,Type_1,Type_2,Pokedex_Entry,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Abilities,Ability_1,Ability_2,Hidden_Ability
Bulbasaur,Grass,Poison,0001,318,45,49,49,65,65,45,"Overgrow, Chlorophyll",Overgrow,,Chlorophyll
Ivysaur,Grass,Poison,0002,405,60,62,63,80,80,60,"Overgrow, Chlorophyll",Overgrow,,Chlorophyll
Venusaur,Grass,Poison,0003,525,80,82,83,100,100,80,"Overgrow, Chlorophyll",Overgrow,,Chlorophyll
Venusaur Mega Venusaur,Grass,Poison,0003,625,80,100,123,122,120,80,Thick Fat,Thick Fat,,
Charmander,Fire,,0004,309,39,52,43,60,50,65,"Blaze, Solar Power",Blaze,,Solar Power
Charmeleon,Fire,,0005,405,58,64,58,80,65,80,"Blaze, Solar Power",Blaze,,Solar Power
Charizard,Fire,Flying,0006,534,78,84,78,109,85,100,"Blaze, Solar Power",Blaze,,Solar Power
Charizard Mega Charizard X,Fire,Dragon,0006,634,78,130,111,130,85,100,Tough Claws,Tough Claws,,
Charizard Mega Charizard Y,Fire,Flying,0006,634,78,104,78,159,115,100,Drought,Drought,,
Squirtle,Water,,0007,314,44,48,65,50,64,43,"Torrent, Rain Dish",Torrent,,Rain Dish
Wartortle,Water,,0008,405,59,63,80,65,80,58,"Torrent, Rain Dish",Torrent,,Rain Dish
Blastoise,Water,,0009,530,79,83,100,85,105,78,"Torrent, Rain Dish",Torrent,,Rain Dish
Blastoise Mega Blastoise,Water,,0009,630,79,103,120,135,115,78,Mega Launcher,Mega Launcher,,
Caterpie,Bug,,0010,195,45,30,35,20,20,45,"Shield Dust, Run Away",Shield Dust,,Run Away
Metapod,Bug,,0011,205,50,20,55,25,25,30,Shed Skin,Shed Skin,,
Butterfree,Bug,Flying,0012,395,60,45,50,90,80,70,"Compoundeyes, Tinted Lens",Compoundeyes,,Tinted Lens
Weedle,Bug,Poison,0013,195,40,35,30,20,20,50,"Shield Dust, Run Away",Shield Dust,,Run Away
Kakuna,Bug,Poison,0014,205,45,25,50,25,25,35,Shed Skin,Shed Skin,,
Beedrill,Bug,Poison,0015,395,65,90,40,45,80,75,"Swarm, Sniper",Swarm,,Sniper
Beedrill Mega Beedrill,Bug,Poison,0015,495,65,150,40,15,80,145,Adaptability,Adaptability,,
Pidgey,Normal,Flying,0016,251,40,45,40,35,35,56,"Keen Eye, Tangled Feet, Big Pecks",Keen Eye,Tangled Feet,Big Pecks
